Little Rock,Little Rock,Arkansas,5119,Pulaski,34.7256,-92.3577,459409,649.4,shape,false,true,America/Chicago,2,72211 72210 72212 72223 72227 72209 72202 72201 72206 72207 72204 72205 72103 72215 72217 72219 72222 72225 72231 72255 72260 72295,1840015509
Fayetteville,Fayetteville,Arkansas,5143,Washington,36.0714,-94.1661,394650,672.8,shape,false,true,America/Chicago,2,72704 72703 72701 72702,1840013368
Fort Smith,Fort Smith,Arkansas,5131,Sebastian,35.3495,-94.3695,126452,537.3,shape,false,true,America/Chicago,2,72908 72901 72904 72923 72916 72903 72906 72913 72914 72917 72918 72919,1840013456
Springdale,Springdale,Arkansas,5143,Washington,36.1901,-94.1574,86705,672.6,shape,false,true,America/Chicago,3,72764 72762 72765 72766,1840015336
Jonesboro,Jonesboro,Arkansas,5031,Craighead,35.8212,-90.6791,78379,377.4,shape,false,true,America/Chicago,3,72467 72401 72404 72405 72402 72403,1840014507
Rogers,Rogers,Arkansas,5007,Benton,36.317,-94.1531,69961,694.5,shape,false,true,America/Chicago,3,72758 72756 72716 72757,1840014444
Conway,Conway,Arkansas,5045,Faulkner,35.0753,-92.4692,69651,541.1,shape,false,true,America/Chicago,3,72032 72035 72034,1840014598
North Little Rock,North Little Rock,Arkansas,5119,Pulaski,34.7807,-92.2371,64454,469.2,shape,false,true,America/Chicago,3,72113 72116 72114 72118 72117 72115 72124 72190 72214,1840014632
Bentonville,Bentonville,Arkansas,5007,Benton,36.3547,-94.2305,54513,600.5,shape,false,true,America/Chicago,3,72713 72712,1840013319
Pine Bluff,Pine Bluff,Arkansas,5069,Jefferson,34.2116,-92.0173,41172,359.8,shape,false,true,America/Chicago,3,71602 71601 71603 71611 71612,1840014699
Hot Springs,Hot Springs,Arkansas,5051,Garland,34.4892,-93.0501,38025,392.0,shape,false,true,America/Chicago,3,71901 71913 71902 71914,1840014670
Benton,Benton,Arkansas,5125,Saline,34.5776,-92.5713,35318,595.9,shape,false,true,America/Chicago,3,72015 72019 72018 72158,1840013572
Sherwood,Sherwood,Arkansas,5119,Pulaski,34.8507,-92.2029,32715,608.6,shape,false,true,America/Chicago,3,72120 72076 72117 72216,1840015511
Bella Vista,Bella Vista,Arkansas,5007,Benton,36.4667,-94.2707,30297,258.2,shape,false,true,America/Chicago,3,72714 72715,1840015287
Paragould,Paragould,Arkansas,5055,Greene,36.0555,-90.5149,29690,360.8,shape,false,true,America/Chicago,3,72450 72451,1840014474
Texarkana,Texarkana,Arkansas,5091,Miller,33.436,-93.9959,29404,270.4,shape,false,true,America/Chicago,3,71854,1840015708
Jacksonville,Jacksonville,Arkansas,5119,Pulaski,34.8807,-92.1304,29332,395.3,shape,false,true,America/Chicago,3,72099 72076 72078,1840014633
Russellville,Russellville,Arkansas,5115,Pope,35.2762,-93.1383,28946,394.9,shape,false,true,America/Chicago,3,72802 72801 72811,1840014541
Cabot,Cabot,Arkansas,5085,Lonoke,34.9766,-92.0274,26543,494.4,shape,false,true,America/Chicago,3,72023,1840013530
West Memphis,West Memphis,Arkansas,5035,Crittenden,35.153,-90.1996,24351,326.0,shape,false,true,America/Chicago,3,72301 72364 72303,1840015448
Van Buren,Van Buren,Arkansas,5033,Crawford,35.4483,-94.3528,23398,583.7,shape,false,true,America/Chicago,3,72956 72957,1840015397
Searcy,Searcy,Arkansas,5145,White,35.2418,-91.7351,22961,484.0,shape,false,true,America/Chicago,3,72143 72145 72149,1840015429
Bryant,Bryant,Arkansas,5125,Saline,34.6152,-92.4914,20750,390.6,shape,false,true,America/Chicago,3,72002 72022 72089,1840013573
Maumelle,Maumelle,Arkansas,5119,Pulaski,34.8522,-92.4,19183,613.3,shape,false,true,America/Chicago,3,72113,1840015510
Centerton,Centerton,Arkansas,5007,Benton,36.3566,-94.2971,18655,516.8,shape,false,true,America/Chicago,3,72713 72719,1840014441
Siloam Springs,Siloam Springs,Arkansas,5007,Benton,36.1844,-94.5315,17632,569.8,shape,false,true,America/Chicago,3,72761,1840015288
El Dorado,El Dorado,Arkansas,5139,Union,33.2184,-92.664,17606,419.6,shape,false,true,America/Chicago,3,71730 71731,1840013773
Hot Springs Village,Hot Springs Village,Arkansas,5051,Garland,34.6566,-92.9643,16843,112.8,shape,false,false,America/Chicago,3,71909 71910,1840013587
Marion,Marion,Arkansas,5035,Crittenden,35.2035,-90.2059,13635,262.7,shape,false,true,America/Chicago,3,72364,1840015445
Blytheville,Blytheville,Arkansas,5093,Mississippi,35.9321,-89.9051,13276,247.2,shape,false,true,America/Chicago,3,72315 72316,1840013390
Harrison,Harrison,Arkansas,5009,Boone,36.2438,-93.1198,13154,456.5,shape,false,true,America/Chicago,3,72601 72602,1840013327
Forrest City,Forrest City,Arkansas,5123,St. Francis,35.0135,-90.7931,13010,248.1,shape,false,true,America/Chicago,3,72335 72336,1840013522
Mountain Home,Mountain Home,Arkansas,5005,Baxter,36.3351,-92.384,12876,415.2,shape,false,true,America/Chicago,3,72653 72654,1840014452
Batesville,Batesville,Arkansas,5063,Independence,35.7687,-91.6227,11163,371.7,shape,false,true,America/Chicago,3,72501,1840013398
Magnolia,Magnolia,Arkansas,5027,Columbia,33.2775,-93.2261,11044,322.3,shape,false,true,America/Chicago,3,71753 71754,1840015726
Malvern,Malvern,Arkansas,5059,Hot Spring,34.3734,-92.8205,10859,425.1,shape,false,true,America/Chicago,3,72104,1840015563
Camden,Camden,Arkansas,5103,Ouachita,33.5672,-92.8467,10587,247.4,shape,false,true,America/Chicago,3,71701 71711,1840013736
Arkadelphia,Arkadelphia,Arkansas,5019,Clark,34.1253,-93.0729,10354,517.2,shape,false,true,America/Chicago,3,71923 71999 71998,1840013638
Lowell,Lowell,Arkansas,5007,Benton,36.2561,-94.1532,10005,401.8,shape,false,true,America/Chicago,3,72745,1840015285
Greenwood,Greenwood,Arkansas,5131,Sebastian,35.2134,-94.2408,9544,340.4,shape,false,true,America/Chicago,3,72936,1840013457
Helena-West Helena,Helena-West Helena,Arkansas,5107,Phillips,34.5313,-90.6201,9470,278.8,shape,false,true,America/Chicago,3,72390 72342,1840027858
Clarksville,Clarksville,Arkansas,5071,Johnson,35.457,-93.4803,9453,200.4,shape,false,true,America/Chicago,3,72830,1840014533
Hope,Hope,Arkansas,5057,Hempstead,33.6682,-93.5895,8921,322.4,shape,false,true,America/Chicago,3,71801 71802,1840014765
Beebe,Beebe,Arkansas,5145,White,35.0713,-91.8998,8447,322.3,shape,false,true,America/Chicago,3,72012,1840013439
Monticello,Monticello,Arkansas,5043,Drew,33.6257,-91.7934,8443,303.9,shape,false,true,America/Chicago,3,71655 71656 71657,1840014805
Wynne,Wynne,Arkansas,5037,Cross,35.2322,-90.7897,8284,355.6,shape,false,true,America/Chicago,3,72396,1840015443
Stuttgart,Stuttgart,Arkansas,5001,Arkansas,34.4952,-91.5487,8189,426.5,shape,false,true,America/Chicago,3,72160,1840015556
Farmington,Farmington,Arkansas,5143,Washington,36.037,-94.2537,7991,314.0,shape,false,true,America/Chicago,3,72730,1840013367
Newport,Newport,Arkansas,5067,Jackson,35.6234,-91.2322,7984,227.5,shape,false,true,America/Chicago,3,72112,1840014516
Pocahontas,Pocahontas,Arkansas,5121,Randolph,36.2635,-90.9706,7384,371.8,shape,false,true,America/Chicago,3,72455,1840014448
Trumann,Trumann,Arkansas,5111,Poinsett,35.677,-90.5259,7383,491.3,shape,false,true,America/Chicago,3,72472,1840015406
Prairie Grove,Prairie Grove,Arkansas,5143,Washington,35.9858,-94.3049,7131,295.2,shape,false,true,America/Chicago,3,72753 72730,1840014481
Heber Springs,Heber Springs,Arkansas,5023,Cleburne,35.4995,-92.0292,7066,300.0,shape,false,true,America/Chicago,3,72543 72545,1840014543
