Dover,Dover,Delaware,10001,Kent,39.161,-75.5202,130186,634.2,shape,false,true,America/New_York,2,19902 19901 19904 19905 19906,1840005810
Wilmington,Wilmington,Delaware,10003,New Castle,39.7415,-75.5416,71034,2517.3,shape,false,true,America/New_York,2,19802 19801 19806 19805 19809 19850 19880 19884 19885 19886 19890 19893 19894 19895 19896 19898 19899,1840005579
Newark,Newark,Delaware,10003,New Castle,39.6776,-75.7576,30655,1249.3,shape,false,true,America/New_York,3,19713 19711 19717 19716 19715 19725 19726,1840005578
Middletown,Middletown,Delaware,10003,New Castle,39.445,-75.7183,23573,726.8,shape,false,true,America/New_York,3,19709,1840005581
Bear,Bear,Delaware,10003,New Castle,39.6189,-75.6808,23070,1539.9,shape,false,false,America/New_York,3,19701 19702,1840005568
Glasgow,Glasgow,Delaware,10003,New Castle,39.6015,-75.7473,15405,599.3,shape,false,false,America/New_York,3,19701 19702,1840005571
Brookside,Brookside,Delaware,10003,New Castle,39.6665,-75.7152,14331,1425.4,shape,false,false,America/New_York,3,19713 19718,1840005569
Hockessin,Hockessin,Delaware,10003,New Castle,39.7837,-75.6815,13878,533.6,shape,false,false,America/New_York,3,19707 19736,1840005573
Smyrna,Smyrna,Delaware,10001,Kent,39.2935,-75.6083,12870,795.9,shape,false,true,America/New_York,3,19977,1840005820
Milford,Milford,Delaware,10005,Sussex,38.9091,-75.4227,11714,458.9,shape,false,true,America/New_York,3,19963,1840006069
Pike Creek Valley,Pike Creek Valley,Delaware,10003,New Castle,39.7294,-75.6989,11452,1540.4,shape,false,false,America/New_York,3,19808 19711,1840028614
Claymont,Claymont,Delaware,10003,New Castle,39.8032,-75.4607,10191,1829.7,shape,false,false,America/New_York,3,19703,1840005570
North Star,North Star,Delaware,10003,New Castle,39.755,-75.7331,8370,475.1,shape,false,false,America/New_York,3,19711,1840028615
Wilmington Manor,Wilmington Manor,Delaware,10003,New Castle,39.6858,-75.5849,8260,1951.6,shape,false,false,America/New_York,3,19720,1840005575
Seaford,Seaford,Delaware,10005,Sussex,38.6538,-75.611,8055,610.9,shape,false,true,America/New_York,3,19973,1840006071
Georgetown,Georgetown,Delaware,10005,Sussex,38.6894,-75.3872,7247,557.2,shape,false,true,America/New_York,3,19947,1840006065
Pike Creek,Pike Creek,Delaware,10003,New Castle,39.7488,-75.695,6975,1001.6,shape,false,false,America/New_York,3,19808 19707 19711,1840028618
Millsboro,Millsboro,Delaware,10005,Sussex,38.5892,-75.3089,6876,519.6,shape,false,true,America/New_York,3,19966,1840006079
Edgemoor,Edgemoor,Delaware,10003,New Castle,39.7547,-75.5069,6485,1305.3,shape,false,false,America/New_York,3,19802 19809,1840028608
Elsmere,Elsmere,Delaware,10003,New Castle,39.7384,-75.5946,6194,2424.0,shape,false,true,America/New_York,2,19804 19805,1840005574
New Castle,New Castle,Delaware,10003,New Castle,39.6681,-75.5697,5523,613.1,shape,false,true,America/New_York,3,19720 19721,1840005577
Rising Sun-Lebanon,Rising Sun-Lebanon,Delaware,10001,Kent,39.1,-75.5047,4060,438.6,shape,false,true,America/New_York,3,19934 19962 19901,1840073664
Clayton,Clayton,Delaware,10001,Kent,39.2849,-75.6366,3978,788.6,shape,false,true,America/New_York,3,19938,1840005815
Laurel,Laurel,Delaware,10005,Sussex,38.5691,-75.5689,3954,551.0,shape,false,true,America/New_York,3,19956,1840006078
Camden,Camden,Delaware,10001,Kent,39.099,-75.5571,3914,403.4,shape,false,true,America/New_York,3,19934 19904,1840005813
Highland Acres,Highland Acres,Delaware,10001,Kent,39.1163,-75.5216,3892,1006.9,shape,false,false,America/New_York,3,19901,1840028616
