Miami,Miami,Florida,12086,Miami-Dade,25.784,-80.2101,6080145,4758.9,shape,false,true,America/New_York,1,33128 33129 33125 33126 33127 33149 33144 33145 33142 33139 33138 33137 33136 33135 33134 33133 33132 33131 33130 33150 33101 33109 33111 33151 33192 33195 33222 33231 33233 33238 33255 33299,1840015149
Tampa,Tampa,Florida,12057,Hillsborough,27.9945,-82.4447,2861173,1320.9,shape,false,true,America/New_York,1,33637 33629 33621 33620 33609 33604 33606 33602 33619 33616 33613 33617 33614 33610 33611 33612 33605 33607 33603 33647 33608 33622 33623 33630 33631 33633 33646 33650 33655 33664 33672 33673 33674 33677 33679 33681 33684 33686 33689,1840015982
Orlando,Orlando,Florida,12095,Orange,28.4773,-81.337,1882705,1070.2,shape,false,true,America/New_York,1,32829 32827 32824 32822 32804 32805 32806 32807 32801 32803 32808 32839 32835 32832 32819 32811 32812 32814 32802 32853 32854 32856 32861 32862 32872 32877 32885 32886 32891 32897,1840015099
Jacksonville,Jacksonville,Florida,12031,Duval,30.3322,-81.6749,1288298,491.0,shape,false,true,America/New_York,1,32224 32225 32226 32227 32220 32221 32222 32223 32228 32219 32218 32214 32217 32216 32211 32210 32212 32246 32244 32233 32234 32202 32250 32254 32257 32256 32208 32209 32206 32207 32204 32205 32203 32258 32277 32099 32201 32229 32231 32232 32235 32236 32238 32239 32241 32245 32247 32255,1840015031
Cape Coral,Cape Coral,Florida,12071,Lee,26.6443,-81.9957,654405,724.2,shape,false,true,America/New_York,2,33990 33993 33914 33991 33909 33904 33910 33915,1840015130
Palm Bay,Palm Bay,Florida,12009,Brevard,27.9631,-80.6593,534348,542.9,shape,false,true,America/New_York,2,32909 32908 32905 32907 32976 32902 32906 32910 32911,1840015094
Port St. Lucie,Port St. Lucie,Florida,12111,St. Lucie,27.2796,-80.3884,462047,681.8,shape,false,true,America/New_York,2,34986 34984 34983 34987 34952 34953 34985,1840015119
Bonita Springs,Bonita Springs,Florida,12071,Lee,26.3558,-81.7859,449527,542.2,shape,false,true,America/New_York,2,33931 34135 34134,1840014227
Kissimmee,Kissimmee,Florida,12097,Osceola,28.3041,-81.4169,431618,1409.2,shape,false,true,America/New_York,2,34743 34746 34741 34744 34745,1840015109
Pensacola,Pensacola,Florida,12033,Escambia,30.4413,-87.1911,398813,917.0,shape,false,true,America/Chicago,2,32503 32504 32501 32502 32513 32522 32524 32591,1840015005
Winter Haven,Winter Haven,Florida,12105,Polk,28.0118,-81.7014,293093,596.3,shape,false,true,America/New_York,2,33881 33880 33884 33883 33885 33888,1840015970
Lakeland,Lakeland,Florida,12105,Polk,28.0557,-81.9545,280346,663.9,shape,false,true,America/New_York,2,33813 33803 33801 33805 33815 33811 33802 33804 33806,1840015108
St. Petersburg,St. Petersburg,Florida,12103,Pinellas,27.7931,-82.6652,259343,1620.2,shape,false,true,America/New_York,2,33707 33702 33762 33713 33712 33711 33710 33716 33715 33714 33705 33703 33704 33701 33729 33731 33732 33733 33734 33742 33743 33747,1840015977
Tallahassee,Tallahassee,Florida,12073,Leon,30.4551,-84.2527,258696,751.3,shape,false,true,America/New_York,2,32310 32312 32313 32399 32307 32306 32304 32303 32301 32309 32308 32311 32302 32314 32315 32316,1840015913
Hialeah,Hialeah,Florida,12086,Miami-Dade,25.8696,-80.3045,222996,3989.5,shape,false,true,America/New_York,2,33014 33016 33010 33012 33013 33018,1840015157
Deltona,Deltona,Florida,12127,Volusia,28.905,-81.2137,221137,976.3,shape,false,true,America/New_York,2,32725 32738 32739,1840015072
Gainesville,Gainesville,Florida,12001,Alachua,29.6804,-82.3459,220929,860.2,shape,false,true,America/New_York,2,32608 32609 32607 32610 32612 32653 32603 32601 32605 32604 32611 32614 32627 32635,1840014022
Ocala,Ocala,Florida,12083,Marion,29.178,-82.1511,186840,518.8,shape,false,true,America/New_York,2,34475 34474 34471 34470 34477 34478 34483,1840015067
Fort Lauderdale,Fort Lauderdale,Florida,12011,Broward,26.1412,-80.1464,182673,2039.5,shape,false,true,America/New_York,2,33301 33304 33305 33306 33308 33309 33334 33316 33315 33312 33311 33320 33336 33338 33339 33340 33346 33348 33394,1840014236
Spring Hill,Spring Hill,Florida,12053,Hernando,28.4798,-82.53,178833,753.2,shape,false,false,America/New_York,2,34608 34609 34604 34606 34611,1840014105
