Atlanta,Atlanta,Georgia,13121,Fulton,33.7628,-84.422,5180179,1412.3,shape,false,true,America/New_York,1,30334 30331 30332 30309 30308 30354 30327 30322 30326 30324 30319 30342 30305 30307 30306 30316 30317 30314 30315 30312 30313 30310 30311 30303 30363 30318 30301 30302 30304 30321 30325 30333 30343 30348 30353 30355 30357 30361 30368 30369 30370 30371 30375 30377 30392 30394 30398 31106 31107 31126 31139 31141 31193 31196,1840013660
Augusta,Augusta,Georgia,13245,Richmond,33.3645,-82.0708,437257,257.5,shape,false,true,America/New_York,2,30912 30815 30812 30907 30906 30904 30905 30901 30909 30805 30903 30914 30916 30917 30919 30999,1840029462
Savannah,Savannah,Georgia,13051,Chatham,32.0286,-81.1821,316050,524.8,shape,false,true,America/New_York,2,31302 31409 31408 31401 31405 31404 31407 31406 31421 31419 31415 31403 31412 31416 31418 31420,1840015830
Columbus,Columbus,Georgia,13215,Muscogee,32.51,-84.8771,264282,364.8,shape,false,true,America/New_York,2,31820 31829 31909 31904 31905 31906 31907 31901 31903 31808 31902 31908 31914 31917 31993 31995 31997 31998 31999,1840014887
Gainesville,Gainesville,Georgia,13139,Hall,34.2902,-83.8294,175569,493.1,shape,false,true,America/New_York,2,30501 30507 30504,1840013612
Macon,Macon,Georgia,13021,Bibb,32.8065,-83.6974,156554,242.4,shape,false,true,America/New_York,2,31210 31052 31211 31213 31216 31217 31220 31207 31206 31204 31201 31202 31203 31205 31208 31209 31221 31294 31295 31296 31297,1840043455
Warner Robins,Warner Robins,Georgia,13153,Houston,32.5961,-83.6527,146790,819.4,shape,false,true,America/New_York,2,31088 31005 31093 31099,1840015800
Athens,Athens,Georgia,13059,Clarke,33.9508,-83.3689,143173,420.0,shape,false,true,America/New_York,2,30602 30622 30601 30605 30606 30607 30609 30683 30603 30608 30612,1840029463
South Fulton,South Fulton,Georgia,13121,Fulton,33.6273,-84.58,107865,447.9,shape,false,true,America/New_York,2,30336 30331 30272 30349 30291 30296 30213 30378 31131 31136,1840029465
Sandy Springs,Sandy Springs,Georgia,13121,Fulton,33.9366,-84.3703,107221,1099.3,shape,false,true,America/New_York,2,30350 30327 30328 30342 30358 31150 31156,1840015609
Roswell,Roswell,Georgia,13121,Fulton,34.0391,-84.3513,92770,879.5,shape,false,true,America/New_York,3,30075 30076 30077,1840014741
Albany,Albany,Georgia,13095,Dougherty,31.5776,-84.1762,83447,483.3,shape,false,true,America/New_York,3,31705 31721 31701 31707 31702 31703 31706 31708,1840013864
Johns Creek,Johns Creek,Georgia,13121,Fulton,34.0333,-84.2027,82230,1030.4,shape,false,true,America/New_York,3,30022 30097 30005,1840014742
Valdosta,Valdosta,Georgia,13185,Lowndes,30.8502,-83.2788,75919,593.0,shape,false,true,America/New_York,3,31698 31602 31601 31605 31603 31604,1840015894
Brunswick,Brunswick,Georgia,13127,Glynn,31.1449,-81.4746,71160,345.8,shape,false,true,America/New_York,3,31520 31521,1840013875
Dalton,Dalton,Georgia,13313,Whitfield,34.769,-84.972,68614,623.7,shape,false,true,America/New_York,3,30721 30720 30719 30722,1840014651
Alpharetta,Alpharetta,Georgia,13121,Fulton,34.0704,-84.2738,65884,945.7,shape,false,true,America/New_York,3,30022 30004 30005 30009 30023,1840013659
Marietta,Marietta,Georgia,13067,Cobb,33.9533,-84.5422,61387,1009.5,shape,false,true,America/New_York,3,30090 30060 30062 30064 30067 30008 30006 30007,1840015633
Stonecrest,Stonecrest,Georgia,13089,DeKalb,33.6842,-84.1372,59445,613.6,shape,false,true,America/New_York,3,30038 30035 30058,1840029466
Brookhaven,Brookhaven,Georgia,13089,DeKalb,33.8743,-84.3314,56848,1790.0,shape,false,true,America/New_York,3,30329 30324 30319 31119,1840029224
Smyrna,Smyrna,Georgia,13067,Cobb,33.8633,-84.5168,55863,1370.8,shape,false,true,America/New_York,3,30126 30082 30080 30081,1840015634
Dunwoody,Dunwoody,Georgia,13089,DeKalb,33.9418,-84.3122,51458,1525.3,shape,false,true,America/New_York,3,30338 30346 30360 30356 31146,1840022929
Newnan,Newnan,Georgia,13077,Coweta,33.3767,-84.7761,42689,846.4,shape,false,true,America/New_York,3,30263 30265 30264 30271,1840014833
Peachtree Corners,Peachtree Corners,Georgia,13135,Gwinnett,33.967,-84.232,42147,1009.9,shape,false,true,America/New_York,3,30071 30092 30360 30010,1840029447
Mableton,Mableton,Georgia,13067,Cobb,33.8133,-84.5655,41647,777.7,shape,false,false,America/New_York,3,30126 30168,1840013690
