Chicago,Chicago,Illinois,17031,Cook,41.8375,-87.6866,8497759,4614.5,shape,false,true,America/Chicago,1,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60631 60827 60661 60660 60638 60639 60634 60636 60637 60630 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60659 60652 60653 60656 60657 60654 60655 60651 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60499 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60684 60685 60686 60687 60688 60689 60690 60694 60695 60696 60699,1840000494
Rockford,Rockford,Illinois,17201,Winnebago,42.2596,-89.064,273237,881.3,shape,false,true,America/Chicago,2,61101 61114 61109 61108 61104 61107 61103 61102 61105 61106 61110 61125 61126,1840009132
Round Lake Beach,Round Lake Beach,Illinois,17097,Lake,42.3791,-88.0811,264451,2084.1,shape,false,true,America/Chicago,2,60073,1840011171
Peoria,Peoria,Illinois,17143,Peoria,40.752,-89.6154,253467,908.7,shape,false,true,America/Chicago,2,61625 61615 61614 61605 61603 61604 61602 61606 61601 61613 61629 61630 61634 61636 61637 61638 61639 61643 61651 61652 61653 61654 61655 61656,1840009373
Aurora,Aurora,Illinois,17089,Kane,41.7638,-88.2902,181405,1555.1,shape,false,true,America/Chicago,2,60505 60506 60504 60502 60503 60519 60507 60568 60569 60572 60598 60599,1840007034
Springfield,Springfield,Illinois,17167,Sangamon,39.7709,-89.654,159671,721.0,shape,false,true,America/Chicago,2,62711 62712 62629 62702 62703 62701 62706 62707 62704 62705 62715 62716 62719 62722 62726 62736 62739 62756 62757 62761 62762 62763 62765 62766 62767 62769 62776 62777 62781 62786 62796,1840009517
Joliet,Joliet,Illinois,17197,Will,41.5188,-88.1499,150221,882.1,shape,false,true,America/Chicago,2,60421 60586 60432 60433 60431 60436 60435 60434,1840008192
Champaign,Champaign,Illinois,17019,Champaign,40.1142,-88.2737,150179,1488.4,shape,false,true,America/Chicago,2,61822 61820 61821 61824 61825 61826,1840007239
Naperville,Naperville,Illinois,17043,DuPage,41.748,-88.1659,149089,1471.7,shape,false,true,America/Chicago,2,60540 60563 60564 60565 60567,1840008143
Bloomington,Bloomington,Illinois,17113,McLean,40.4757,-88.9703,136524,1122.0,shape,false,true,America/Chicago,2,61701 61705 61704 61709 61710 61791,1840007207
Elgin,Elgin,Illinois,17089,Kane,42.0383,-88.324,114190,1159.4,shape,false,true,America/Chicago,2,60120 60123 60124 60121 60122,1840008134
Waukegan,Waukegan,Illinois,17097,Lake,42.3698,-87.8716,89435,1425.9,shape,false,true,America/Chicago,3,60048 60087 60085 60079,1840010113
Decatur,Decatur,Illinois,17115,Macon,39.8557,-88.9342,86231,634.0,shape,false,true,America/Chicago,3,62522 62523 62521 62526 62524 62525,1840007269
Cicero,Cicero,Illinois,17031,Cook,41.8445,-87.7593,84189,5542.3,shape,false,true,America/Chicago,2,60804,1840009186
Alton,Alton,Illinois,17119,Madison,38.9037,-90.152,78729,631.8,shape,false,true,America/Chicago,3,62018 62002,1840007424
Schaumburg,Schaumburg,Illinois,17031,Cook,42.0308,-88.0838,77571,1548.1,shape,false,true,America/Chicago,3,60193 60195 60194 60173 60168 60196,1840011319
Evanston,Evanston,Illinois,17031,Cook,42.0464,-87.6943,77181,3830.6,shape,false,true,America/Chicago,2,60201 60202 60208 60204,1840008129
Arlington Heights,Arlington Heights,Illinois,17031,Cook,42.0955,-87.9826,76794,1784.8,shape,false,true,America/Chicago,3,60005 60004,1840011243
Bolingbrook,Bolingbrook,Illinois,17197,Will,41.6901,-88.1021,73755,1142.9,shape,false,true,America/Chicago,3,60440 60490,1840011482
Palatine,Palatine,Illinois,17031,Cook,42.118,-88.043,67223,1838.9,shape,false,true,America/Chicago,3,60074 60067 60055 60095,1840011311
Skokie,Skokie,Illinois,17031,Cook,42.036,-87.74,67076,2573.3,shape,false,true,America/Chicago,2,60076 60077 60203,1840011321
Kankakee,Kankakee,Illinois,17091,Kankakee,41.102,-87.8643,66065,632.1,shape,false,true,America/Chicago,3,60901,1840008260
Des Plaines,Des Plaines,Illinois,17031,Cook,42.0345,-87.9008,60087,1629.4,shape,false,true,America/Chicago,3,60018 60016 60017 60019,1840007032
Orland Park,Orland Park,Illinois,17031,Cook,41.6075,-87.8619,58345,1022.6,shape,false,true,America/Chicago,3,60467 60462,1840011310
Oak Lawn,Oak Lawn,Illinois,17031,Cook,41.7139,-87.7528,57665,2597.7,shape,false,true,America/Chicago,2,60453,1840011306
Berwyn,Berwyn,Illinois,17031,Cook,41.8433,-87.7909,56556,5592.7,shape,false,true,America/Chicago,2,60402,1840007027
Mount Prospect,Mount Prospect,Illinois,17031,Cook,42.0641,-87.9375,56191,2024.0,shape,false,true,America/Chicago,2,60056,1840011300
Tinley Park,Tinley Park,Illinois,17031,Cook,41.567,-87.8049,55571,1327.3,shape,false,true,America/Chicago,3,60477 60487,1840011331
Oak Park,Oak Park,Illinois,17031,Cook,41.8872,-87.7899,53834,4422.6,shape,false,true,America/Chicago,2,60301 60302 60304 60303,1840011307
Wheaton,Wheaton,Illinois,17043,DuPage,41.8561,-88.1085,53673,1831.1,shape,false,true,America/Chicago,3,60187 60189,1840010166
