Baltimore,Baltimore,Maryland,24510,Baltimore,39.3051,-76.6144,2196524,2788.2,shape,false,true,America/New_York,1,21218 21211 21210 21213 21212 21215 21214 21217 21216 21233 21231 21230 21239 21251 21209 21202 21206 21207 21205 21287 21223 21226 21201 21224 21225 21229 21203 21263 21264 21270 21273 21275 21278 21279 21281 21290 21297 21298,1840001592
Hagerstown,Hagerstown,Maryland,24043,Washington,39.6401,-77.7217,195261,1334.0,shape,false,true,America/New_York,2,21742 21740 21741 21747 21749,1840005613
Frederick,Frederick,Maryland,24021,Frederick,39.4337,-77.4141,184991,1263.9,shape,false,true,America/New_York,2,21705 21702 21701 21709,1840005710
Waldorf,Waldorf,Maryland,24017,Charles,38.6085,-76.9194,122310,863.7,shape,false,false,America/New_York,2,20601 20603 20602 20675 20695 20604,1840006175
Columbia,Columbia,Maryland,24027,Howard,39.2004,-76.859,106600,1288.9,shape,false,false,America/New_York,2,21044 21045 21046 21029 20588 21150,1840005803
Germantown,Germantown,Maryland,24031,Montgomery,39.1755,-77.2643,90210,2044.8,shape,false,false,America/New_York,2,20876 20874 20875,1840005840
Salisbury,Salisbury,Maryland,24045,Wicomico,38.3756,-75.5865,81921,923.2,shape,false,true,America/New_York,3,21804 21801,1840006219
Silver Spring,Silver Spring,Maryland,24031,Montgomery,39.0028,-77.0207,81808,4006.9,shape,false,false,America/New_York,2,20910 20912 20903 20901 20907 20911 20997,1840005845
Ellicott City,Ellicott City,Maryland,24027,Howard,39.2774,-76.8345,73589,946.9,shape,false,false,America/New_York,3,21042 21043 21041,1840005802
Glen Burnie,Glen Burnie,Maryland,24003,Anne Arundel,39.156,-76.6071,71427,1592.9,shape,false,false,America/New_York,3,21060 21061 21108 21062,1840005917
Gaithersburg,Gaithersburg,Maryland,24031,Montgomery,39.1346,-77.2131,69016,2581.8,shape,false,true,America/New_York,2,20878 20899 20879 20877 20884 20885 20898,1840005848
Rockville,Rockville,Maryland,24031,Montgomery,39.0834,-77.1553,67142,1905.6,shape,false,true,America/New_York,3,20850 20851 20852 20847 20848 20849 20857,1840005849
Dundalk,Dundalk,Maryland,24005,Baltimore,39.2704,-76.4942,66321,1956.6,shape,false,false,America/New_York,3,21222 21224,1840005681
Bethesda,Bethesda,Maryland,24031,Montgomery,38.9866,-77.1188,66316,1930.6,shape,false,false,America/New_York,3,20892 20894 20814 20815 20816 20817 20889 20810 20811 20824,1840005826
Bowie,Bowie,Maryland,24033,Prince George's,38.9549,-76.7406,57922,1094.4,shape,false,true,America/New_York,3,20720 20721 20716 20715 20717 20718 20719,1840005970
Towson,Towson,Maryland,24005,Baltimore,39.3944,-76.619,57617,1571.8,shape,false,false,America/New_York,3,21210 21212 21239 21286 21252 21209 21204 21285 21139 21284,1840005695
Bel Air South,Bel Air South,Maryland,24025,Harford,39.5022,-76.3113,57109,1036.4,shape,false,true,America/New_York,3,21009 21015 21014,1840073592
Severn,Severn,Maryland,24003,Anne Arundel,39.1355,-76.6956,56438,1188.2,shape,false,false,America/New_York,3,21144 21077 21076,1840005925
Aspen Hill,Aspen Hill,Maryland,24031,Montgomery,39.0927,-77.0826,54262,2205.8,shape,false,false,America/New_York,2,20853 20906 20897 20908 20916,1840005825
Wheaton,Wheaton,Maryland,24031,Montgomery,39.0492,-77.0573,52775,2954.1,shape,false,false,America/New_York,2,20906 20902 20915,1840031295
North Bethesda,North Bethesda,Maryland,24031,Montgomery,39.0393,-77.1191,49763,2165.6,shape,false,false,America/New_York,2,20895 20896 20814 20817 20851 20852,1840031494
Potomac,Potomac,Maryland,24031,Montgomery,39.0141,-77.1943,46499,713.4,shape,false,false,America/New_York,3,20817 20854 20827 20859,1840005837
Odenton,Odenton,Maryland,24003,Anne Arundel,39.0661,-76.6938,45026,1177.4,shape,false,false,America/New_York,3,21054 21113,1840005912
Catonsville,Catonsville,Maryland,24005,Baltimore,39.2646,-76.7424,42767,1182.7,shape,false,false,America/New_York,3,21250 21228,1840005679
Woodlawn,Woodlawn,Maryland,24005,Baltimore,39.3054,-76.7489,42239,1709.7,shape,false,false,America/New_York,3,21244 21207 21228 21235 21241 21289,1840005697
Essex,Essex,Maryland,24005,Baltimore,39.3021,-76.4449,40842,1703.0,shape,false,false,America/New_York,3,21221,1840005675
Annapolis,Annapolis,Maryland,24003,Anne Arundel,38.9706,-76.5047,40719,2181.7,shape,false,true,America/New_York,2,21401 21403 21404 21411,1840005928
Severna Park,Severna Park,Maryland,24003,Anne Arundel,39.087,-76.5687,40452,944.6,shape,false,false,America/New_York,3,21122 21146 21108 21123,1840005926
Clinton,Clinton,Maryland,24033,Prince George's,38.7499,-76.9063,40224,620.8,shape,false,false,America/New_York,3,20735,1840005949
Randallstown,Randallstown,Maryland,24005,Baltimore,39.3723,-76.8024,36223,1368.2,shape,false,false,America/New_York,3,21163 21208 21133,1840005688
Chillum,Chillum,Maryland,24033,Prince George's,38.9666,-76.9791,35908,4106.8,shape,false,false,America/New_York,2,20783 20782,1840005948
Olney,Olney,Maryland,24031,Montgomery,39.1465,-77.0715,35522,847.6,shape,false,false,America/New_York,3,20860 20832 20833 20853 20906 20830,1840005836
Owings Mills,Owings Mills,Maryland,24005,Baltimore,39.4115,-76.7913,34999,1417.6,shape,false,false,America/New_York,3,21117,1840005684
Montgomery Village,Montgomery Village,Maryland,24031,Montgomery,39.1788,-77.1954,34748,3456.0,shape,false,false,America/New_York,2,20886,1840005834
College Park,College Park,Maryland,24033,Prince George's,38.996,-76.9337,34416,2368.4,shape,false,true,America/New_York,2,20742 20740 20741,1840005971
Pikesville,Pikesville,Maryland,24005,Baltimore,39.3893,-76.702,34101,1066.1,shape,false,false,America/New_York,3,21153 21208 21209 21022 21282,1840005687
Pasadena,Pasadena,Maryland,24003,Anne Arundel,39.1552,-76.5537,32161,831.8,shape,false,false,America/New_York,3,21122 21060 21226 21412,1840005914
