Portland,Portland,Maine,23005,Cumberland,43.6773,-70.2715,209491,1223.9,shape,false,true,America/New_York,2,04101 04102 04103 04108 04109 04019 04104 04112 04116 04122 04123 04124,1840000327
Lewiston,Lewiston,Maine,23001,Androscoggin,44.0915,-70.1681,37577,424.9,shape,false,true,America/New_York,3,04240 04241 04243,1840000320
Bangor,Bangor,Maine,23019,Penobscot,44.8323,-68.7906,31705,357.3,shape,false,true,America/New_York,3,04401 04402,1840000238
South Portland,South Portland,Maine,23005,Cumberland,43.631,-70.2895,26656,854.6,shape,false,true,America/New_York,3,04106,1840000328
Auburn,Auburn,Maine,23001,Androscoggin,44.0851,-70.2492,24038,156.4,shape,false,true,America/New_York,3,04210 04211 04212 04223,1840000319
Biddeford,Biddeford,Maine,23031,York,43.4673,-70.4511,22438,288.0,shape,false,true,America/New_York,3,04005 04006 04007,1840000342
Sanford,Sanford,Maine,23031,York,43.4244,-70.7573,21986,177.6,shape,false,false,America/New_York,3,04073 04083,1840002672
Saco,Saco,Maine,23031,York,43.539,-70.4624,20446,204.6,shape,false,true,America/New_York,3,04072,1840000343
Westbrook,Westbrook,Maine,23005,Cumberland,43.6954,-70.3539,20339,456.9,shape,false,true,America/New_York,3,04092 04098,1840000329
Augusta,Augusta,Maine,23011,Kennebec,44.3341,-69.7319,18938,132.6,shape,false,true,America/New_York,3,04330 04332 04333 04336 04338,1840000302
Waterville,Waterville,Maine,23011,Kennebec,44.5441,-69.6624,15785,450.4,shape,false,true,America/New_York,3,04901 04903,1840000305
Brewer,Brewer,Maine,23019,Penobscot,44.7835,-68.7352,9633,244.1,shape,false,true,America/New_York,3,04412,1840000239
Bath,Bath,Maine,23023,Sagadahoc,43.9346,-69.8346,8775,371.5,shape,false,true,America/New_York,3,04530,1840000332
Presque Isle,Presque Isle,Maine,23003,Aroostook,46.6868,-67.9874,8772,44.7,shape,false,true,America/New_York,3,04769,1840000146
Ellsworth,Ellsworth,Maine,23009,Hancock,44.5847,-68.4875,8478,41.3,shape,false,true,America/New_York,3,04605,1840000281
Old Town,Old Town,Maine,23019,Penobscot,44.9491,-68.7249,7458,74.2,shape,false,true,America/New_York,3,04468 04489,1840000240
Caribou,Caribou,Maine,23003,Aroostook,46.8662,-67.992,7454,36.3,shape,false,true,America/New_York,3,04736,1840000145
Rockland,Rockland,Maine,23013,Knox,44.1274,-69.1369,6986,209.9,shape,false,true,America/New_York,3,04841,1840000322
Belfast,Belfast,Maine,23027,Waldo,44.4279,-69.0325,6953,78.8,shape,false,true,America/New_York,3,04915,1840000300
Gardiner,Gardiner,Maine,23011,Kennebec,44.191,-69.7921,5994,147.6,shape,false,true,America/New_York,3,04345 04359,1840000303
North Windham,North Windham,Maine,23005,Cumberland,43.8233,-70.4293,5525,317.2,shape,false,false,America/New_York,3,04062,1840002553
Lisbon Falls,Lisbon Falls,Maine,23001,Androscoggin,44.0086,-70.0571,4177,438.3,shape,false,false,America/New_York,3,04252,1840002189
South Eliot,South Eliot,Maine,23031,York,43.1287,-70.7952,3686,197.9,shape,false,false,America/New_York,3,03903,1840002673
York Harbor,York Harbor,Maine,23031,York,43.1435,-70.649,3640,438.4,shape,false,false,America/New_York,3,03909 03911,1840002677
Lisbon,Lisbon,Maine,23001,Androscoggin,44.0289,-70.1076,3470,388.1,shape,false,false,America/New_York,3,04250,1840152999
South Berwick,South Berwick,Maine,23031,York,43.2321,-70.7963,3453,485.9,shape,false,false,America/New_York,3,03908,1840152995
Calais,Calais,Maine,23029,Washington,45.134,-67.224,3078,34.6,shape,false,true,America/New_York,3,04619,1840000271
Cumberland Center,Cumberland Center,Maine,23005,Cumberland,43.7982,-70.2541,2913,265.8,shape,false,false,America/New_York,3,04021,1840002550
Lake Arrowhead,Lake Arrowhead,Maine,23031,York,43.6634,-70.7382,2896,214.5,shape,false,false,America/New_York,3,04048 04061,1840002670
Hallowell,Hallowell,Maine,23011,Kennebec,44.2905,-69.814,2558,168.4,shape,false,true,America/New_York,3,04347,1840000304
Cape Neddick,Cape Neddick,Maine,23031,York,43.1706,-70.622,2462,254.8,shape,false,false,America/New_York,3,03909 03910,1840002665
South Paris,South Paris,Maine,23017,Oxford,44.219,-70.5113,2208,220.0,shape,false,false,America/New_York,3,04281,1840001583
Steep Falls,Steep Falls,Maine,23005,Cumberland,43.7905,-70.6275,2087,80.3,shape,false,false,America/New_York,3,04085,1840024008
Falmouth Foreside,Falmouth Foreside,Maine,23005,Cumberland,43.7348,-70.2152,2022,512.8,shape,false,false,America/New_York,3,04105,1840002551
Veazie,Veazie,Maine,23019,Penobscot,44.8407,-68.7134,1869,238.6,shape,false,false,America/New_York,3,04401,1840153000
Dunstan,Dunstan,Maine,23005,Cumberland,43.5691,-70.3884,1722,210.3,shape,false,false,America/New_York,3,04074 04070,1840143133
West Kennebunk,West Kennebunk,Maine,23031,York,43.4142,-70.581,1269,140.8,shape,false,false,America/New_York,3,04043,1840002676
Eastport,Eastport,Maine,23029,Washington,44.9137,-67.0183,1211,128.6,shape,false,true,America/New_York,3,04631,1840000272
Cornish,Cornish,Maine,23031,York,43.8005,-70.7994,1115,141.8,shape,false,false,America/New_York,3,04020,1840153002
Chisholm,Chisholm,Maine,23007,Franklin,44.4916,-70.1923,1074,189.7,shape,false,false,America/New_York,3,04239,1840002061
Kittery Point,Kittery Point,Maine,23031,York,43.0883,-70.6988,1017,205.8,shape,false,false,America/New_York,3,03905,1840002669
Greene,Greene,Maine,23001,Androscoggin,44.1898,-70.1418,950,141.5,shape,false,false,America/New_York,3,04236,1840152991
Little Falls,Little Falls,Maine,23005,Cumberland,43.7312,-70.4301,891,299.0,shape,false,false,America/New_York,3,04038 04082,1840031522
Bradley,Bradley,Maine,23019,Penobscot,44.9127,-68.6246,884,167.8,shape,false,false,America/New_York,3,04411,1840152983
South Windham,South Windham,Maine,23005,Cumberland,43.738,-70.4236,834,269.7,shape,false,false,America/New_York,3,04062,1840026140
Kezar Falls,Kezar Falls,Maine,23031,York,43.808,-70.8831,791,397.9,shape,false,false,America/New_York,3,04047 04068,1840031519
Jonesport,Jonesport,Maine,23029,Washington,44.5338,-67.6152,723,175.1,shape,false,false,America/New_York,3,04649,1840152996
