St. Louis,St. Louis,Missouri,29510,St. Louis,38.6359,-90.2451,2130881,1864.3,shape,false,true,America/Chicago,1,63110 63111 63112 63113 63115 63116 63118 63120 63107 63106 63104 63103 63102 63101 63109 63108 63155 63139 63137 63143 63147 63150 63156 63157 63158 63160 63163 63164 63166 63169 63177 63178 63179 63180 63188 63197,1840001651
Kansas City,Kansas City,Missouri,29095,Jackson,39.1238,-94.5541,1689556,620.7,shape,false,true,America/Chicago,1,64161 64163 64164 64165 64167 64053 64118 64116 64151 64153 64155 64154 64157 64156 64158 64108 64109 64106 64102 64128 64129 64124 64125 64126 64127 64120 64123 64166 64119 64114 64117 64111 64110 64113 64112 64133 64146 64145 64149 64147 64105 64101 64139 64138 64132 64131 64130 64137 64136 64134 64121 64141 64148 64162 64170 64171 64179 64180 64184 64187 64188 64191 64195 64196 64197 64198 64199 64999,1840008535
Springfield,Springfield,Missouri,29077,Greene,37.1943,-93.2916,286280,784.5,shape,false,true,America/Chicago,2,65810 65897 65619 65801 65802 65803 65804 65806 65807 65809 65805 65808 65814 65817 65890 65898 65899,1840009904
Columbia,Columbia,Missouri,29019,Boone,38.9472,-92.3268,142637,725.2,shape,false,true,America/Chicago,2,65202 65203 65201 65215 65216 65211 65217 65218 65299,1840007391
Independence,Independence,Missouri,29095,Jackson,39.0871,-94.3501,122218,605.2,shape,false,true,America/Chicago,2,64054 64055 64056 64057 64050 64052 64053 64015 64016 64051,1840008534
Lee's Summit,Lee's Summit,Missouri,29095,Jackson,38.9171,-94.3816,101728,614.7,shape,false,true,America/Chicago,2,64086 64082 64064 64063 64081 64002,1840032155
O'Fallon,O'Fallon,Missouri,29183,St. Charles,38.785,-90.7175,91825,1162.3,shape,false,true,America/Chicago,3,63367 63366 63368,1840008571
Joplin,Joplin,Missouri,29097,Jasper,37.0757,-94.5018,90384,525.7,shape,false,true,America/Chicago,3,64804 64801 64802 64803,1840008771
St. Joseph,St. Joseph,Missouri,29021,Buchanan,39.7598,-94.821,75033,633.0,shape,false,true,America/Chicago,3,64503 64501 64507 64506 64504 64505 64502 64508,1840009549
St. Charles,St. Charles,Missouri,29183,St. Charles,38.7954,-90.5157,70687,1084.4,shape,false,true,America/Chicago,3,63301 63303 63302,1840009719
Blue Springs,Blue Springs,Missouri,29095,Jackson,39.0124,-94.2721,58720,1009.5,shape,false,true,America/Chicago,3,64014 64015 64013,1840007396
St. Peters,St. Peters,Missouri,29183,St. Charles,38.7825,-90.6061,57692,991.6,shape,false,true,America/Chicago,3,63376 63304,1840009721
Florissant,Florissant,Missouri,29189,St. Louis,38.7996,-90.3269,52167,1604.7,shape,false,true,America/Chicago,3,63033 63031 63032,1840008586
Chesterfield,Chesterfield,Missouri,29189,St. Louis,38.6589,-90.5803,49645,602.1,shape,false,true,America/Chicago,3,63017 63005 63006,1840007446
Wentzville,Wentzville,Missouri,29183,St. Charles,38.8153,-90.8669,44584,822.5,shape,false,true,America/Chicago,3,63348 63385,1840010717
Jefferson City,Jefferson City,Missouri,29051,Cole,38.5676,-92.1759,42644,456.7,shape,false,true,America/Chicago,2,65101 65109 65102 65103 65104 65105 65106 65107 65108 65110 65111,1840008615
Cape Girardeau,Cape Girardeau,Missouri,29031,Cape Girardeau,37.3109,-89.5597,39795,525.3,shape,false,true,America/Chicago,3,63701 63703,1840007598
Oakville,Oakville,Missouri,29189,St. Louis,38.4479,-90.3199,35412,861.1,shape,false,false,America/Chicago,3,63129 63151,1840006121
Wildwood,Wildwood,Missouri,29189,St. Louis,38.58,-90.6698,35276,204.3,shape,false,true,America/Chicago,3,63025 63021 63011 63040 63038 63069 63005,1840010746
University City,University City,Missouri,29189,St. Louis,38.6657,-90.3315,34850,2287.6,shape,false,true,America/Chicago,2,63132 63130,1840010739
Ballwin,Ballwin,Missouri,29189,St. Louis,38.595,-90.55,30948,1330.5,shape,false,true,America/Chicago,3,63021 63011 63022 63024,1840007447
Liberty,Liberty,Missouri,29047,Clay,39.2394,-94.4191,30299,402.9,shape,false,true,America/Chicago,3,64068 64069,1840008502
Raytown,Raytown,Missouri,29095,Jackson,38.9944,-94.4641,29772,1157.7,shape,false,true,America/Chicago,3,64133 64138,1840009681
Kirkwood,Kirkwood,Missouri,29189,St. Louis,38.5788,-90.4203,29309,1232.4,shape,false,true,America/Chicago,3,63122,1840008598
Mehlville,Mehlville,Missouri,29189,St. Louis,38.5018,-90.3149,29089,1502.1,shape,false,false,America/Chicago,3,63129 63125,1840006120
Maryland Heights,Maryland Heights,Missouri,29189,St. Louis,38.7189,-90.4749,28099,495.8,shape,false,true,America/Chicago,3,63043 63146,1840008591
Gladstone,Gladstone,Missouri,29047,Clay,39.2134,-94.5592,26964,1288.5,shape,false,true,America/Chicago,3,64118 64119,1840008496
Grandview,Grandview,Missouri,29095,Jackson,38.8802,-94.5227,25921,679.5,shape,false,true,America/Chicago,3,64030,1840008532
Hazelwood,Hazelwood,Missouri,29189,St. Louis,38.7931,-90.3899,25345,610.1,shape,false,true,America/Chicago,3,63042 63044 63031,1840007453
Belton,Belton,Missouri,29037,Cass,38.8192,-94.5335,24241,657.0,shape,false,true,America/Chicago,3,64012,1840007463
Webster Groves,Webster Groves,Missouri,29189,St. Louis,38.5866,-90.3544,23838,1556.5,shape,false,true,America/Chicago,3,63119,1840010744
Nixa,Nixa,Missouri,29043,Christian,37.0453,-93.2959,23523,976.9,shape,false,true,America/Chicago,3,65714,1840008789
Raymore,Raymore,Missouri,29037,Cass,38.8029,-94.4583,23232,518.1,shape,false,true,America/Chicago,3,64083,1840009787
Sedalia,Sedalia,Missouri,29159,Pettis,38.7059,-93.234,21767,588.3,shape,false,true,America/Chicago,3,65301 65302,1840009724
Ozark,Ozark,Missouri,29043,Christian,37.0365,-93.2158,21459,682.1,shape,false,true,America/Chicago,3,65721,1840009926
Arnold,Arnold,Missouri,29099,Jefferson,38.4297,-90.3733,20840,698.2,shape,false,true,America/Chicago,3,63010,1840007506
Old Jamestown,Old Jamestown,Missouri,29189,St. Louis,38.8394,-90.2847,20387,526.7,shape,false,true,America/Chicago,3,63034,1840039632
Rolla,Rolla,Missouri,29161,Phelps,37.9459,-91.7607,20025,637.5,shape,false,true,America/Chicago,3,65409 65401 65402,1840009849
Affton,Affton,Missouri,29189,St. Louis,38.5499,-90.3264,19922,1683.0,shape,false,false,America/Chicago,3,63123,1840006124
Warrensburg,Warrensburg,Missouri,29101,Johnson,38.7627,-93.726,19317,792.9,shape,false,true,America/Chicago,3,64093,1840010721
Republic,Republic,Missouri,29077,Greene,37.1452,-93.4446,18824,454.6,shape,false,true,America/Chicago,3,65738 65619 65802,1840009906
Creve Coeur,Creve Coeur,Missouri,29189,St. Louis,38.662,-90.443,18679,701.9,shape,false,true,America/Chicago,3,63141 63167,1840007443
Concord,Concord,Missouri,29189,St. Louis,38.5117,-90.3574,18606,1307.2,shape,false,false,America/Chicago,3,63128 63123,1840006126
Ferguson,Ferguson,Missouri,29189,St. Louis,38.749,-90.295,18546,1160.7,shape,false,true,America/Chicago,3,63136 63135,1840008584
Manchester,Manchester,Missouri,29189,St. Louis,38.583,-90.5064,18240,1399.6,shape,false,true,America/Chicago,3,63021 63011,1840009739
Spanish Lake,Spanish Lake,Missouri,29189,St. Louis,38.7884,-90.2077,18051,945.4,shape,false,false,America/Chicago,3,63138,1840006123
Farmington,Farmington,Missouri,29187,St. Francois,37.7822,-90.4282,17859,726.3,shape,false,true,America/Chicago,3,63640,1840008686
Kirksville,Kirksville,Missouri,29001,Adair,40.1986,-92.5752,17533,470.6,shape,false,true,America/Chicago,3,63501,1840008372
Clayton,Clayton,Missouri,29189,St. Louis,38.6444,-90.3303,17212,2650.9,shape,false,true,America/Chicago,2,63105 63195 63199,1840007439
Lake St. Louis,Lake St. Louis,Missouri,29183,St. Charles,38.7846,-90.7886,17088,772.5,shape,false,true,America/Chicago,3,63367,1840008572
Hannibal,Hannibal,Missouri,29127,Marion,39.7098,-91.3939,17003,410.3,shape,false,true,America/Chicago,3,63401,1840007306
Poplar Bluff,Poplar Bluff,Missouri,29023,Butler,36.7632,-90.4135,16313,479.4,shape,false,true,America/Chicago,3,63901 63902,1840009935
Lemay,Lemay,Missouri,29189,St. Louis,38.5325,-90.2845,16211,1530.2,shape,false,false,America/Chicago,3,63125,1840006119
Sikeston,Sikeston,Missouri,29201,Scott,36.8854,-89.5877,16146,363.7,shape,false,true,America/Chicago,3,63801,1840009921
Overland,Overland,Missouri,29189,St. Louis,38.6966,-90.3689,15838,1393.2,shape,false,true,America/Chicago,3,63114 63132,1840009744
Grain Valley,Grain Valley,Missouri,29095,Jackson,39.0171,-94.2084,15688,983.0,shape,false,true,America/Chicago,3,64029,1840008531
Fort Leonard Wood,Fort Leonard Wood,Missouri,29169,Pulaski,37.7562,-92.1274,15615,261.8,shape,true,true,America/Chicago,3,65473,1840073756
Carthage,Carthage,Missouri,29097,Jasper,37.1503,-94.3225,15491,502.4,shape,false,true,America/Chicago,3,64836,1840007629
Jackson,Jackson,Missouri,29031,Cape Girardeau,37.3792,-89.6522,15394,553.1,shape,false,true,America/Chicago,3,63755,1840008735
Lebanon,Lebanon,Missouri,29105,Laclede,37.6717,-92.6603,15023,396.1,shape,false,true,America/Chicago,3,65536,1840008711
Washington,Washington,Missouri,29071,Franklin,38.5515,-91.0154,14769,590.3,shape,false,true,America/Chicago,3,63090,1840010770
Moberly,Moberly,Missouri,29175,Randolph,39.4179,-92.4364,13708,401.7,shape,false,true,America/Chicago,3,65270,1840008463
Marshall,Marshall,Missouri,29195,Saline,39.1147,-93.201,13687,522.1,shape,false,true,America/Chicago,3,65340,1840008509
Webb City,Webb City,Missouri,29097,Jasper,37.1412,-94.4676,13002,580.9,shape,false,true,America/Chicago,3,64870,1840010878
Jennings,Jennings,Missouri,29189,St. Louis,38.7231,-90.2644,12996,1344.1,shape,false,true,America/Chicago,3,63136,1840008596
Troy,Troy,Missouri,29113,Lincoln,38.9708,-90.9714,12964,648.4,shape,false,true,America/Chicago,3,63379,1840010689
St. Ann,St. Ann,Missouri,29189,St. Louis,38.7266,-90.3872,12917,1580.7,shape,false,true,America/Chicago,3,63074,1840009771
Dardenne Prairie,Dardenne Prairie,Missouri,29183,St. Charles,38.7565,-90.7319,12903,936.8,shape,false,true,America/Chicago,3,63368,1840007428
Festus,Festus,Missouri,29099,Jefferson,38.2194,-90.4097,12772,835.2,shape,false,true,America/Chicago,3,63028,1840008652
Neosho,Neosho,Missouri,29145,Newton,36.8437,-94.3758,12670,310.6,shape,false,true,America/Chicago,3,64850,1840008793
Branson,Branson,Missouri,29213,Taney,36.6509,-93.2636,12651,228.8,shape,false,true,America/Chicago,3,65616 65615,1840007659
