Las Vegas,Las Vegas,Nevada,32003,Clark,36.2333,-115.2654,2248047,1755.1,shape,false,true,America/Los_Angeles,1,89146 89149 89107 89106 89104 89102 89101 89108 89138 89130 89131 89134 89143 89145 89144 89110 89117 89129 89128 89124 88901 88905 89105 89114 89116 89125 89126 89127 89133 89137 89140 89151 89152 89153 89155 89163 89185 89195,1840020364
Reno,Reno,Nevada,32031,Washoe,39.5497,-119.8483,457702,940.5,shape,false,true,America/Los_Angeles,2,89521 89523 89439 89503 89502 89501 89506 89509 89508 89557 89519 89512 89505 89507 89533 89555 89595 89599,1840020121
Henderson,Henderson,Nevada,32003,Clark,36.0133,-115.0381,318063,1153.8,shape,false,true,America/Los_Angeles,2,89044 89052 89054 89002 89074 89015 89014 89011 89012 89009 89077,1840020361
North Las Vegas,North Las Vegas,Nevada,32003,Clark,36.2883,-115.0888,264022,996.2,shape,false,true,America/Los_Angeles,2,89032 89031 89030 89086 89084 89085 89081 89115 89033 89087,1840020363
Enterprise,Enterprise,Nevada,32003,Clark,36.0091,-115.2278,225461,1319.0,shape,false,false,America/Los_Angeles,2,89178 89183 89139 89141 89148 89113 89118 89119 89123,1840033827
Spring Valley,Spring Valley,Nevada,32003,Clark,36.0952,-115.2636,220114,2393.6,shape,false,false,America/Los_Angeles,2,89147 89146 89103 89148 89113 89117 89118 89150 89164 89173,1840033832
Sunrise Manor,Sunrise Manor,Nevada,32003,Clark,36.1783,-115.0487,198325,2271.3,shape,false,false,America/Los_Angeles,2,89104 89142 89110 89115 89156 89121 89122 89162 89180,1840033833
Paradise,Paradise,Nevada,32003,Clark,36.0872,-115.1355,189733,1727.6,shape,false,false,America/Los_Angeles,2,89103 89109 89158 89169 89118 89119 89121 89120 89123 89111 89132 89136 89154 89157 89159 89160 89170 89177 89193,1840033743
Sparks,Sparks,Nevada,32031,Washoe,39.5736,-119.7161,108025,1143.0,shape,false,true,America/Los_Angeles,2,89436 89434 89431 89432 89435,1840021337
Carson City,Carson City,Nevada,32510,Carson City,39.1511,-119.7476,58249,155.6,shape,false,true,America/Los_Angeles,2,89701 89703 89706 89711 89712 89713 89714,1840003826
Whitney,Whitney,Nevada,32003,Clark,36.1008,-115.0379,44720,2535.3,shape,false,false,America/Los_Angeles,2,89122,1840033834
Pahrump,Pahrump,Nevada,32023,Nye,36.2235,-115.9974,44711,52.5,shape,false,false,America/Los_Angeles,3,89048 89060 89061 89041,1840018821
Winchester,Winchester,Nevada,32003,Clark,36.1365,-115.137,37531,2922.5,shape,false,false,America/Los_Angeles,2,89109 89169 89121 89199,1840033770
Summerlin South,Summerlin South,Nevada,32003,Clark,36.1242,-115.3324,29724,1185.0,shape,false,true,America/Los_Angeles,3,89135,1840074790
Fernley,Fernley,Nevada,32019,Lyon,39.5627,-119.1906,23035,73.1,shape,false,true,America/Los_Angeles,3,89408 89406 89429,1840020214
Sun Valley,Sun Valley,Nevada,32031,Washoe,39.6104,-119.777,22775,603.4,shape,false,false,America/Los_Angeles,3,89436 89433,1840018711
Mesquite,Mesquite,Nevada,32003,Clark,36.8032,-114.133,20659,251.1,shape,false,true,America/Los_Angeles,3,89034 89027 89024,1840020362
Elko,Elko,Nevada,32007,Elko,40.8381,-115.7678,20513,443.8,shape,false,true,America/Los_Angeles,3,89801,1840020120
Spanish Springs,Spanish Springs,Nevada,32031,Washoe,39.6568,-119.6694,16418,114.1,shape,false,false,America/Los_Angeles,3,89441 89436,1840033826
Dayton,Dayton,Nevada,32019,Lyon,39.2592,-119.5653,15415,170.5,shape,false,false,America/Los_Angeles,3,89403 89428,1840018796
Spring Creek,Spring Creek,Nevada,32007,Elko,40.745,-115.5983,15062,108.4,shape,false,false,America/Los_Angeles,3,89815,1840018704
Boulder City,Boulder City,Nevada,32003,Clark,35.8407,-114.9257,14868,27.6,shape,false,true,America/Los_Angeles,3,89005 89006,1840019028
Gardnerville Ranchos,Gardnerville Ranchos,Nevada,32005,Douglas,38.8957,-119.7492,12057,450.9,shape,false,false,America/Los_Angeles,3,89460,1840033828
Cold Springs,Cold Springs,Nevada,32031,Washoe,39.6927,-119.9775,11029,486.2,shape,false,false,America/Los_Angeles,3,89508,1840033824
Fallon,Fallon,Nevada,32001,Churchill,39.4737,-118.7779,9243,961.6,shape,false,true,America/Los_Angeles,3,89406 89407,1840020191
Incline Village,Incline Village,Nevada,32031,Washoe,39.2639,-119.9455,9163,164.5,shape,false,false,America/Los_Angeles,3,89451 89450 89452,1840033809
Winnemucca,Winnemucca,Nevada,32013,Humboldt,40.9645,-117.7247,8354,330.2,shape,false,true,America/Los_Angeles,3,89445,1840021334
Laughlin,Laughlin,Nevada,32003,Clark,35.1401,-114.6206,8184,193.3,shape,false,false,America/Phoenix,3,89029 89028,1840017689
Moapa Valley,Moapa Valley,Nevada,32003,Clark,36.6078,-114.4566,7144,63.2,shape,false,false,America/Los_Angeles,3,89040 89021,1840033831
Johnson Lane,Johnson Lane,Nevada,32005,Douglas,39.0489,-119.7245,6499,114.7,shape,false,false,America/Los_Angeles,3,89423,1840033830
Gardnerville,Gardnerville,Nevada,32005,Douglas,38.939,-119.7369,6147,494.4,shape,false,false,America/Los_Angeles,3,89423 89410,1840017563
Indian Hills,Indian Hills,Nevada,32005,Douglas,39.0894,-119.7977,5955,157.4,shape,false,false,America/Los_Angeles,3,89705 89423 89702,1840033829
Lemmon Valley,Lemmon Valley,Nevada,32031,Washoe,39.6879,-119.8364,5221,126.4,shape,false,false,America/Los_Angeles,3,89506 89504,1840033785
Silver Springs,Silver Springs,Nevada,32019,Lyon,39.3826,-119.2148,5117,27.6,shape,false,false,America/Los_Angeles,3,89429,1840018797
West Wendover,West Wendover,Nevada,32007,Elko,40.7407,-114.0783,4513,233.0,shape,false,true,America/Los_Angeles,3,89883,1840021336
Nellis AFB,Nellis AFB,Nevada,32003,Clark,36.2466,-115.0571,4278,602.9,shape,true,true,America/Los_Angeles,3,89115 89191,1840074502
Battle Mountain,Battle Mountain,Nevada,32015,Lander,40.6299,-116.9518,4187,264.5,shape,false,false,America/Los_Angeles,3,89820,1840017497
Ely,Ely,Nevada,32033,White Pine,39.265,-114.8708,3957,200.4,shape,false,true,America/Los_Angeles,3,89301,1840020183
Washoe Valley,Washoe Valley,Nevada,32031,Washoe,39.2923,-119.7767,3235,247.8,shape,false,true,America/Los_Angeles,3,89704,1840043162
Minden,Minden,Nevada,32005,Douglas,38.9632,-119.7683,3140,327.5,shape,false,false,America/Los_Angeles,3,89423,1840018826
Yerington,Yerington,Nevada,32019,Lyon,38.9554,-119.1101,3108,40.7,shape,false,true,America/Los_Angeles,3,89447,1840021443
Hawthorne,Hawthorne,Nevada,32021,Mineral,38.5253,-118.626,2739,601.2,shape,false,false,America/Los_Angeles,3,89415,1840017564
Carlin,Carlin,Nevada,32007,Elko,40.719,-116.1081,2366,87.5,shape,false,true,America/Los_Angeles,3,89822,1840018706
Kingsbury,Kingsbury,Nevada,32005,Douglas,38.9909,-119.8837,1920,34.0,shape,false,false,America/Los_Angeles,3,89449 89411,1840033778
Sandy Valley,Sandy Valley,Nevada,32003,Clark,35.8423,-115.6304,1914,13.2,shape,false,false,America/Los_Angeles,3,89019,1840019026
Stagecoach,Stagecoach,Nevada,32019,Lyon,39.3656,-119.3832,1904,88.1,shape,false,false,America/Los_Angeles,3,89429,1840026616
Tonopah,Tonopah,Nevada,32023,Nye,38.0822,-117.2246,1777,74.1,shape,false,false,America/Los_Angeles,3,89049,1840018822
Topaz Ranch Estates,Topaz Ranch Estates,Nevada,32005,Douglas,38.7357,-119.5008,1695,45.5,shape,false,true,America/Los_Angeles,4,89444,1840039850
Ruhenstroth,Ruhenstroth,Nevada,32005,Douglas,38.8913,-119.6833,1691,230.5,shape,false,true,America/Los_Angeles,3,89410,1840039849
Lovelock,Lovelock,Nevada,32027,Pershing,40.1787,-118.4775,1675,751.1,shape,false,true,America/Los_Angeles,3,89419,1840020154
Smith Valley,Smith Valley,Nevada,32019,Lyon,38.8109,-119.3517,1646,6.2,shape,false,true,America/Los_Angeles,4,89444 89430,1840037104
Amargosa Valley,Amargosa Valley,Nevada,32023,Nye,36.5424,-116.4877,1355,5.3,shape,false,false,America/Los_Angeles,4,89020,1840033803
Mogul,Mogul,Nevada,32031,Washoe,39.5164,-119.923,1315,349.3,shape,false,false,America/Los_Angeles,3,89523,1840024130
East Valley,East Valley,Nevada,32005,Douglas,38.9452,-119.6993,1294,50.8,shape,false,true,America/Los_Angeles,4,89423 89410,1840039807
