Sioux Falls,Sioux Falls,South Dakota,46099,Minnehaha,43.5396,-96.7311,204484,926.0,shape,false,true,America/Chicago,2,57108 57104 57105 57106 57107 57103 57197 57110 57117 57101 57109 57186 57193,1840002648
Rapid City,Rapid City,South Dakota,46103,Pennington,44.0716,-103.2204,87826,530.3,shape,false,true,America/Denver,3,57702 57703 57701,1840002180
Aberdeen,Aberdeen,South Dakota,46013,Brown,45.4649,-98.4686,28388,663.6,shape,false,true,America/Chicago,3,57401,1840002032
Brookings,Brookings,South Dakota,46011,Brookings,44.3022,-96.7859,23530,668.9,shape,false,true,America/Chicago,3,57007 57006,1840002506
Watertown,Watertown,South Dakota,46029,Codington,44.9094,-97.1532,22718,477.6,shape,false,true,America/Chicago,3,57201,1840002156
Mitchell,Mitchell,South Dakota,46035,Davison,43.7294,-98.0337,15656,537.9,shape,false,true,America/Chicago,3,57301,1840002642
Yankton,Yankton,South Dakota,46135,Yankton,42.8901,-97.3927,15421,686.8,shape,false,true,America/Chicago,3,57078,1840003058
Huron,Huron,South Dakota,46005,Beadle,44.3623,-98.2094,14179,563.3,shape,false,true,America/Chicago,3,57350 57399,1840002373
Pierre,Pierre,South Dakota,46065,Hughes,44.3748,-100.3205,14105,418.0,shape,false,true,America/Chicago,2,57501,1840000313
Spearfish,Spearfish,South Dakota,46081,Lawrence,44.4909,-103.8155,12268,274.8,shape,false,true,America/Denver,3,57783 57799,1840002374
Box Elder,Box Elder,South Dakota,46103,Pennington,44.112,-103.0818,11905,311.6,shape,false,true,America/Denver,3,57706 57719,1840002183
Vermillion,Vermillion,South Dakota,46027,Clay,42.7811,-96.9256,11667,966.4,shape,false,true,America/Chicago,3,57069,1840003082
Brandon,Brandon,South Dakota,46099,Minnehaha,43.5928,-96.5799,10919,736.8,shape,false,true,America/Chicago,3,57005,1840002650
Rapid Valley,Rapid Valley,South Dakota,46103,Pennington,44.0674,-103.1223,7324,437.2,shape,false,false,America/Denver,3,57703,1840004098
Harrisburg,Harrisburg,South Dakota,46083,Lincoln,43.4324,-96.7041,7157,588.7,shape,false,true,America/Chicago,3,57108 57032,1840002845
Sturgis,Sturgis,South Dakota,46093,Meade,44.411,-103.4973,7121,428.2,shape,false,true,America/Denver,3,57785,1840002174
Madison,Madison,South Dakota,46079,Lake,44.0062,-97.1085,6271,524.6,shape,false,true,America/Chicago,3,57042,1840002540
Tea,Tea,South Dakota,46083,Lincoln,43.4564,-96.8257,5922,603.8,shape,false,true,America/Chicago,3,57106 57064,1840002841
Belle Fourche,Belle Fourche,South Dakota,46019,Butte,44.664,-103.8564,5670,247.3,shape,false,true,America/Denver,3,57717,1840002127
Dakota Dunes,Dakota Dunes,South Dakota,46127,Union,42.492,-96.487,3997,625.1,shape,false,false,America/Chicago,3,57049,1840026185
Dell Rapids,Dell Rapids,South Dakota,46099,Minnehaha,43.8244,-96.7143,3953,677.0,shape,false,true,America/Chicago,3,57022,1840000341
Milbank,Milbank,South Dakota,46051,Grant,45.2195,-96.6338,3506,487.9,shape,false,true,America/Chicago,3,57252,1840002099
Hot Springs,Hot Springs,South Dakota,46047,Fall River,43.4195,-103.4657,3465,308.3,shape,false,true,America/Denver,3,57747,1840002868
Hartford,Hartford,South Dakota,46099,Minnehaha,43.621,-96.9424,3340,422.7,shape,false,true,America/Chicago,2,57033,1840002653
Mobridge,Mobridge,South Dakota,46129,Walworth,45.5409,-100.4349,3130,616.6,shape,false,true,America/Chicago,3,57601,1840002090
Canton,Canton,South Dakota,46083,Lincoln,43.3032,-96.5848,3060,361.3,shape,false,true,America/Chicago,3,57013,1840002843
Lead,Lead,South Dakota,46081,Lawrence,44.3528,-103.7671,2993,561.4,shape,false,true,America/Denver,3,57754,1840002376
North Sioux City,North Sioux City,South Dakota,46127,Union,42.535,-96.4998,2984,429.7,shape,false,true,America/Chicago,3,57049,1840000388
