Salt Lake City,Salt Lake City,Utah,49035,Salt Lake,40.7776,-111.9311,1173879,700.8,shape,false,true,America/Denver,1,84116 84115 84114 84113 84112 84111 84128 84150 84180 84108 84101 84102 84103 84104 84105 84106 84138 84110 84122 84132 84133 84134 84139 84143 84145 84147 84148 84151 84152 84158 84199,1840021383
Ogden,Ogden,Utah,49057,Weber,41.2279,-111.9682,622918,1215.9,shape,false,true,America/Denver,2,84404 84401 84403 84408 84244 84407 84409 84415,1840020135
Provo,Provo,Utah,49049,Utah,40.2457,-111.6457,619218,1059.2,shape,false,true,America/Denver,2,84606 84604 84602 84601 84603 84605,1840020174
St. George,St. George,Utah,49053,Washington,37.0758,-113.5752,148895,481.3,shape,false,true,America/Denver,2,84770 84790 84791,1840021559
West Valley City,West Valley City,Utah,49035,Salt Lake,40.6886,-112.0123,138868,1496.6,shape,false,true,America/Denver,2,84119 84120 84128 84118 84125 84126 84127 84130 84131 84170,1840021389
Logan,Logan,Utah,49005,Cache,41.7399,-111.8422,121666,1142.4,shape,false,true,America/Denver,2,84321 84322 84341,1840020108
West Jordan,West Jordan,Utah,49035,Salt Lake,40.6024,-112.0008,116383,1390.4,shape,false,true,America/Denver,2,84088 84081 84084,1840021388
Orem,Orem,Utah,49049,Utah,40.2981,-111.6994,97100,2013.8,shape,false,true,America/Denver,2,84097 84057 84058 84059,1840020171
Sandy,Sandy,Utah,49035,Salt Lake,40.5709,-111.8506,95635,1525.5,shape,false,true,America/Denver,3,84092 84093 84094 84070 84090 84091,1840037422
Layton,Layton,Utah,49011,Davis,41.077,-111.962,81726,1400.5,shape,false,true,America/Denver,3,84041 84040,1840020145
South Jordan,South Jordan,Utah,49035,Salt Lake,40.557,-111.9784,78118,1358.3,shape,false,true,America/Denver,3,84095 84009,1840021385
Lehi,Lehi,Utah,49049,Utah,40.4136,-111.8725,77110,1044.1,shape,false,true,America/Denver,3,84043,1840020168
Millcreek,Millcreek,Utah,49035,Salt Lake,40.6892,-111.8292,63520,1901.9,shape,false,true,America/Denver,3,84117 84124 84109 84106 84107 84141,1840018744
Taylorsville,Taylorsville,Utah,49035,Salt Lake,40.6569,-111.9493,59729,2126.4,shape,false,true,America/Denver,2,84123 84129 84184,1840021387
Herriman,Herriman,Utah,49035,Salt Lake,40.4899,-112.017,55301,924.0,shape,false,true,America/Denver,3,84096,1840020155
Draper,Draper,Utah,49035,Salt Lake,40.4957,-111.8605,50635,652.4,shape,false,true,America/Denver,3,84020,1840018747
Murray,Murray,Utah,49035,Salt Lake,40.6498,-111.8874,50041,1571.3,shape,false,true,America/Denver,3,84117 84123 84121 84107 84157,1840020159
Eagle Mountain,Eagle Mountain,Utah,49049,Utah,40.3137,-112.0114,46109,350.7,shape,false,true,America/Denver,3,84013 84005,1840018757
Bountiful,Bountiful,Utah,49011,Davis,40.8721,-111.8647,45353,1327.0,shape,false,true,America/Denver,3,84010 84011,1840018737
Riverton,Riverton,Utah,49035,Salt Lake,40.5176,-111.9636,44864,1374.3,shape,false,true,America/Denver,3,84065 84096,1840020157
Spanish Fork,Spanish Fork,Utah,49049,Utah,40.1101,-111.6405,42694,995.4,shape,false,true,America/Denver,3,84660,1840021398
Saratoga Springs,Saratoga Springs,Utah,49049,Utah,40.345,-111.9154,40391,675.6,shape,false,true,America/Denver,3,84045,1840021397
Roy,Roy,Utah,49057,Weber,41.1714,-112.0485,39064,1850.8,shape,false,true,America/Denver,3,84067,1840020132
Pleasant Grove,Pleasant Grove,Utah,49049,Utah,40.3716,-111.7412,37453,1573.6,shape,false,true,America/Denver,3,84062,1840020173
Kearns,Kearns,Utah,49035,Salt Lake,40.6519,-112.0095,36862,3072.5,shape,false,true,America/Denver,2,84118,1840017500
Tooele,Tooele,Utah,49045,Tooele,40.5393,-112.3082,36315,581.5,shape,false,true,America/Denver,3,84074,1840021356
Cedar City,Cedar City,Utah,49021,Iron,37.6834,-113.0956,35812,383.1,shape,false,true,America/Denver,3,84720 84721,1840018895
Midvale,Midvale,Utah,49035,Salt Lake,40.6148,-111.8927,35609,2332.5,shape,false,true,America/Denver,2,84047,1840020158
Springville,Springville,Utah,49049,Utah,40.1638,-111.6205,35195,945.5,shape,false,true,America/Denver,3,84663,1840021399
American Fork,American Fork,Utah,49049,Utah,40.3783,-111.7953,33986,1156.1,shape,false,true,America/Denver,3,84003,1840018756
Cottonwood Heights,Cottonwood Heights,Utah,49035,Salt Lake,40.6137,-111.8144,33257,1392.3,shape,false,true,America/Denver,3,84093 84121 84171,1840018746
Syracuse,Syracuse,Utah,49011,Davis,41.0859,-112.0698,32798,1242.8,shape,false,true,America/Denver,3,84075,1840021352
Kaysville,Kaysville,Utah,49011,Davis,41.029,-111.9456,32714,1202.3,shape,false,true,America/Denver,3,84037,1840018738
Clearfield,Clearfield,Utah,49011,Davis,41.103,-112.0238,32369,1623.9,shape,false,true,America/Denver,3,84015 84016 84089,1840018735
Holladay,Holladay,Utah,49035,Salt Lake,40.66,-111.8226,31563,1432.7,shape,false,true,America/Denver,3,84117 84121 84124,1840020156
Magna,Magna,Utah,49035,Salt Lake,40.7634,-112.1599,29275,567.6,shape,false,true,America/Denver,3,84044,1840017499
Washington,Washington,Utah,49053,Washington,37.1303,-113.4878,29161,311.7,shape,false,true,America/Denver,3,84780 84771,1840021561
South Salt Lake,South Salt Lake,Utah,49035,Salt Lake,40.7057,-111.8986,26315,1463.8,shape,false,true,America/Denver,3,84119 84115 84165 84190,1840021386
Farmington,Farmington,Utah,49011,Davis,40.9845,-111.9065,24463,949.1,shape,false,true,America/Denver,3,84025,1840020142
Clinton,Clinton,Utah,49011,Davis,41.1395,-112.0656,23389,1522.3,shape,false,true,America/Denver,3,84015,1840018736
North Salt Lake,North Salt Lake,Utah,49011,Davis,40.8439,-111.9187,21875,998.6,shape,false,true,America/Denver,3,84054,1840020144
Payson,Payson,Utah,49049,Utah,40.0355,-111.739,21529,634.2,shape,false,true,America/Denver,3,84651,1840020172
North Ogden,North Ogden,Utah,49057,Weber,41.3123,-111.9584,21065,1078.2,shape,false,true,America/Denver,3,84414,1840020134
Hurricane,Hurricane,Utah,49053,Washington,37.1487,-113.3517,20609,150.9,shape,false,true,America/Denver,3,84737,1840018936
Brigham City,Brigham City,Utah,49003,Box Elder,41.5035,-112.0453,19602,307.9,shape,false,true,America/Denver,3,84302,1840018702
Highland,Highland,Utah,49049,Utah,40.4276,-111.7957,19267,856.6,shape,false,true,America/Denver,3,84003,1840020167
West Haven,West Haven,Utah,49057,Weber,41.2083,-112.0541,18334,656.6,shape,false,true,America/Denver,3,84401 84402,1840021344
South Ogden,South Ogden,Utah,49057,Weber,41.1722,-111.9576,17476,1730.3,shape,false,true,America/Denver,3,84405 84403,1840021342
Bluffdale,Bluffdale,Utah,49035,Salt Lake,40.4744,-111.9381,17460,606.7,shape,false,true,America/Denver,3,84065,1840018745
Heber,Heber,Utah,49051,Wasatch,40.507,-111.3986,16943,278.5,shape,false,true,America/Denver,3,84032,1840074861
Centerville,Centerville,Utah,49011,Davis,40.9284,-111.8848,16740,1090.7,shape,false,true,America/Denver,3,84014 84087,1840018734
Santaquin,Santaquin,Utah,49049,Utah,39.9708,-111.7941,14463,533.1,shape,false,true,America/Denver,3,84655,1840021396
Smithfield,Smithfield,Utah,49005,Cache,41.8349,-111.8265,13658,899.8,shape,false,true,America/Denver,3,84335,1840021321
Grantsville,Grantsville,Utah,49045,Tooele,40.6148,-112.4777,12939,125.4,shape,false,true,America/Denver,3,84029,1840020146
Vineyard,Vineyard,Utah,49049,Utah,40.3059,-111.7545,12663,1011.8,shape,false,true,America/Denver,3,84059,1840022419
Mapleton,Mapleton,Utah,49049,Utah,40.1188,-111.5742,11756,340.2,shape,false,true,America/Denver,3,84664 84660,1840020170
Lindon,Lindon,Utah,49049,Utah,40.3414,-111.7187,11478,530.6,shape,false,true,America/Denver,3,84042,1840020169
Woods Cross,Woods Cross,Utah,49011,Davis,40.8731,-111.917,11432,1153.4,shape,false,true,America/Denver,3,84087,1840021355
West Point,West Point,Utah,49011,Davis,41.122,-112.0995,11226,609.3,shape,false,true,America/Denver,3,84015,1840021354
North Logan,North Logan,Utah,49005,Cache,41.7759,-111.8066,10981,595.6,shape,false,true,America/Denver,3,84341,1840020114
Pleasant View,Pleasant View,Utah,49057,Weber,41.3249,-112.0011,10942,605.3,shape,false,true,America/Denver,3,84404 84414,1840020137
Stansbury Park,Stansbury Park,Utah,49045,Tooele,40.6356,-112.3054,10512,1745.7,shape,false,false,America/Denver,3,84074,1840037176
Tremonton,Tremonton,Utah,49003,Box Elder,41.7187,-112.189,10273,488.6,shape,false,true,America/Denver,3,84337,1840021326
Alpine,Alpine,Utah,49049,Utah,40.4629,-111.7724,10260,498.4,shape,false,true,America/Denver,3,84004,1840018755
Vernal,Vernal,Utah,49047,Uintah,40.4517,-109.5378,10141,847.0,shape,false,true,America/Denver,3,84078 84079,1840021391
Cedar Hills,Cedar Hills,Utah,49049,Utah,40.4135,-111.7531,9977,1413.2,shape,false,true,America/Denver,3,84062,1840018754
Hyrum,Hyrum,Utah,49005,Cache,41.6325,-111.8445,9680,600.3,shape,false,true,America/Denver,3,84319,1840018699
Salem,Salem,Utah,49049,Utah,40.0539,-111.6718,9467,342.7,shape,false,true,America/Denver,3,84653,1840021395
Riverdale,Riverdale,Utah,49057,Weber,41.1732,-112.0023,9313,782.3,shape,false,true,America/Denver,3,84405,1840020131
Washington Terrace,Washington Terrace,Utah,49057,Weber,41.1683,-111.9783,9220,1755.9,shape,false,true,America/Denver,3,84405,1840021343
Ivins,Ivins,Utah,49053,Washington,37.1742,-113.6809,9174,374.8,shape,false,true,America/Denver,3,84738,1840018937
Hooper,Hooper,Utah,49057,Weber,41.1599,-112.2871,9080,74.1,shape,false,true,America/Denver,3,84315,1840020130
Summit Park,Summit Park,Utah,49043,Summit,40.7423,-111.5872,8708,248.8,shape,false,false,America/Denver,3,84098,1840018725
Providence,Providence,Utah,49005,Cache,41.7035,-111.8123,8418,792.5,shape,false,true,America/Denver,3,84332,1840020115
Park City,Park City,Utah,49043,Summit,40.6502,-111.5013,8379,158.7,shape,false,true,America/Denver,3,84060 84068,1840020140
Richfield,Richfield,Utah,49041,Sevier,38.7613,-112.0931,8213,528.0,shape,false,true,America/Denver,3,84701,1840020239
Price,Price,Utah,49007,Carbon,39.604,-110.8003,8174,627.0,shape,false,true,America/Denver,3,84501,1840020201
South Weber,South Weber,Utah,49011,Davis,41.1334,-111.9393,7939,658.0,shape,false,true,America/Denver,3,84405,1840021350
Plain City,Plain City,Utah,49057,Weber,41.3071,-112.0877,7873,251.6,shape,false,true,America/Denver,3,84404,1840020136
Farr West,Farr West,Utah,49057,Weber,41.3015,-112.0318,7747,505.2,shape,false,true,America/Denver,3,84404,1840020128
Santa Clara,Santa Clara,Utah,49053,Washington,37.1312,-113.656,7625,485.5,shape,false,true,America/Denver,3,84770 84765,1840021560
Enoch,Enoch,Utah,49021,Iron,37.7669,-113.0449,7563,367.4,shape,false,true,America/Denver,3,84721,1840020273
Nibley,Nibley,Utah,49005,Cache,41.6726,-111.8461,7373,630.3,shape,false,true,America/Denver,3,84321,1840020113
Harrisville,Harrisville,Utah,49057,Weber,41.2852,-111.9859,6909,890.0,shape,false,true,America/Denver,3,84404 84414,1840020129
Roosevelt,Roosevelt,Utah,49013,Duchesne,40.2924,-110.0093,6884,393.1,shape,false,true,America/Denver,3,84066,1840020162
Nephi,Nephi,Utah,49023,Juab,39.7069,-111.8326,6507,467.3,shape,false,true,America/Denver,3,84648,1840020188
Midway,Midway,Utah,49051,Wasatch,40.5183,-111.4746,6019,378.9,shape,false,true,America/Denver,3,84049,1840020165
Fruit Heights,Fruit Heights,Utah,49011,Davis,41.0277,-111.9082,6018,1015.1,shape,false,true,America/Denver,3,84037,1840020143
West Bountiful,West Bountiful,Utah,49011,Davis,40.8984,-111.9082,5905,688.6,shape,false,true,America/Denver,3,84087,1840021353
Ephraim,Ephraim,Utah,49039,Sanpete,39.3563,-111.5845,5739,498.5,shape,false,true,America/Denver,3,84627,1840020202
