Seattle,Seattle,Washington,53033,King,47.6211,-122.3244,3561397,3376.6,shape,false,true,America/Los_Angeles,1,98109 98108 98105 98104 98107 98106 98101 98103 98102 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133 98111 98113 98114 98124 98127 98129 98139 98141 98145 98161 98165 98170 98175 98181 98185 98191 98194,1840021117
Spokane,Spokane,Washington,53063,Spokane,47.6671,-117.433,456219,1279.8,shape,false,true,America/Los_Angeles,2,99201 99203 99202 99205 99204 99207 99208 99258 99224 99223 99001 99212 99209 99210 99219 99220 99252 99256 99260,1840021093
Kennewick,Kennewick,Washington,53005,Benton,46.1978,-119.1732,259995,1138.5,shape,false,true,America/Los_Angeles,2,99337 99336 99338,1840018481
Bremerton,Bremerton,Washington,53035,Kitsap,47.5436,-122.7121,226805,597.3,shape,false,true,America/Los_Angeles,2,98312 98314 98310 98337,1840018410
Tacoma,Tacoma,Washington,53053,Pierce,47.2431,-122.4531,219234,1702.7,shape,false,true,America/Los_Angeles,2,98422 98403 98404 98405 98408 98409 98402 98406 98407 98466 98465 98416 98418 98444 98421 98401 98411 98412 98413 98415 98417 98419 98448 98471 98481 98490,1840021129
Olympia,Olympia,Washington,53067,Thurston,47.0417,-122.8959,210877,1168.7,shape,false,true,America/Los_Angeles,2,98502 98501 98506 98504 98507 98508,1840019865
Vancouver,Vancouver,Washington,53011,Clark,45.6366,-122.5967,190700,1510.4,shape,false,true,America/Los_Angeles,2,98684 98664 98665 98660 98661 98662 98663 98682 98683 98687,1840021189
Marysville,Marysville,Washington,53061,Snohomish,48.0809,-122.1561,162664,1318.1,shape,false,true,America/Los_Angeles,2,98271 98270,1840019789
Bellevue,Bellevue,Washington,53033,King,47.5951,-122.1535,150606,1737.5,shape,false,true,America/Los_Angeles,2,98004 98005 98006 98007 98008 98009 98015,1840018417
Kent,Kent,Washington,53033,King,47.3887,-122.2128,135169,1542.6,shape,false,true,America/Los_Angeles,2,98031 98030 98032 98042 98035 98064 98089,1840018424
Yakima,Yakima,Washington,53077,Yakima,46.5923,-120.5496,132354,1343.7,shape,false,true,America/Los_Angeles,2,98901 98903 98902 98908 98904 98907,1840021154
Bellingham,Bellingham,Washington,53073,Whatcom,48.7548,-122.469,129880,1250.8,shape,false,true,America/Los_Angeles,2,98225 98226 98229 98228,1840018346
Everett,Everett,Washington,53061,Snohomish,47.9525,-122.1669,110847,1273.7,shape,false,true,America/Los_Angeles,2,98207 98204 98203 98201 98208 98206 98213,1840019785
Renton,Renton,Washington,53033,King,47.4784,-122.1918,105355,1728.0,shape,false,true,America/Los_Angeles,2,98059 98058 98057 98056 98055,1840019827
Spokane Valley,Spokane Valley,Washington,53063,Spokane,47.6626,-117.2346,103761,1062.1,shape,false,true,America/Los_Angeles,2,99206 99016 99212 99216 99037 99211 99213 99215,1840021094
Federal Way,Federal Way,Washington,53033,King,47.3091,-122.3358,99614,1722.5,shape,false,true,America/Los_Angeles,3,98023 98003 98063 98093,1840019826
Kirkland,Kirkland,Washington,53033,King,47.697,-122.2057,92015,1995.2,shape,false,true,America/Los_Angeles,3,98039 98033 98034 98083,1840019836
Auburn,Auburn,Washington,53033,King,47.3039,-122.2108,85623,1117.7,shape,false,true,America/Los_Angeles,3,98001 98002 98092,1840018416
Pasco,Pasco,Washington,53021,Franklin,46.2506,-119.1305,77274,873.1,shape,false,true,America/Los_Angeles,3,99301 99302,1840019888
Wenatchee,Wenatchee,Washington,53007,Chelan,47.436,-120.3295,76152,1286.0,shape,false,true,America/Los_Angeles,3,98801,1840021074
Redmond,Redmond,Washington,53033,King,47.6763,-122.1169,73728,1718.3,shape,false,true,America/Los_Angeles,3,98052 98073,1840019835
South Hill,South Hill,Washington,53053,Pierce,47.1198,-122.2853,67835,1409.3,shape,false,false,America/Los_Angeles,3,98374 98375 98373,1840037886
Longview,Longview,Washington,53015,Cowlitz,46.1461,-122.963,67203,984.2,shape,false,true,America/Los_Angeles,3,98632,1840019904
Mount Vernon,Mount Vernon,Washington,53057,Skagit,48.4203,-122.3115,66896,1102.6,shape,false,true,America/Los_Angeles,3,98274 98273,1840019774
Sammamish,Sammamish,Washington,53033,King,47.6017,-122.0416,66586,1258.6,shape,false,true,America/Los_Angeles,3,98029 98075 98074,1840021115
Lakewood,Lakewood,Washington,53053,Pierce,47.1628,-122.5299,63142,1429.1,shape,false,true,America/Los_Angeles,3,98499 98498 98496 98497,1840019860
Richland,Richland,Washington,53005,Benton,46.2824,-119.2939,60867,596.8,shape,false,true,America/Los_Angeles,3,99352 99354,1840019889
Shoreline,Shoreline,Washington,53033,King,47.7564,-122.3426,58673,1947.1,shape,false,true,America/Los_Angeles,3,98155 98177 98133 98160,1840021118
Lacey,Lacey,Washington,53067,Thurston,47.0462,-122.7933,56263,1178.0,shape,false,true,America/Los_Angeles,3,98513 98516 98503 98509,1840019866
Burien,Burien,Washington,53033,King,47.4762,-122.3394,51505,1980.9,shape,false,true,America/Los_Angeles,3,98146 98148 98168 98166 98062,1840018420
Bothell,Bothell,Washington,53033,King,47.7735,-122.2044,47917,1356.8,shape,false,true,America/Los_Angeles,3,98021 98011 98041,1840018419
Edmonds,Edmonds,Washington,53061,Snohomish,47.8115,-122.3533,42705,1849.2,shape,false,true,America/Los_Angeles,3,98026 98020,1840037645
Puyallup,Puyallup,Washington,53053,Pierce,47.1793,-122.2902,42610,1145.4,shape,false,true,America/Los_Angeles,3,98374 98371 98372 98373 98352,1840019859
Lynnwood,Lynnwood,Washington,53061,Snohomish,47.8284,-122.3033,39867,1954.2,shape,false,true,America/Los_Angeles,3,98037 98036 98046,1840019788
Issaquah,Issaquah,Washington,53033,King,47.5439,-122.0471,39400,1254.2,shape,false,true,America/Los_Angeles,3,98029 98027,1840018422
Parkland,Parkland,Washington,53053,Pierce,47.1417,-122.4376,39398,1760.0,shape,false,false,America/Los_Angeles,3,98444 98445 98447,1840018453
Lake Stevens,Lake Stevens,Washington,53061,Snohomish,48.0024,-122.0953,38816,1478.2,shape,false,true,America/Los_Angeles,3,98258,1840019794
Graham,Graham,Washington,53053,Pierce,47.0322,-122.2827,34778,314.6,shape,false,false,America/Los_Angeles,3,98338,1840017365
University Place,University Place,Washington,53053,Pierce,47.2147,-122.5461,34696,1606.3,shape,false,true,America/Los_Angeles,3,98466 98467 98464,1840021130
Spanaway,Spanaway,Washington,53053,Pierce,47.0979,-122.4233,34015,1501.9,shape,false,false,America/Los_Angeles,3,98387 98445,1840018451
Walla Walla,Walla Walla,Washington,53071,Walla Walla,46.0671,-118.3368,33842,931.5,shape,false,true,America/Los_Angeles,3,99362,1840021174
Des Moines,Des Moines,Washington,53033,King,47.3914,-122.3156,32667,1966.6,shape,false,true,America/Los_Angeles,3,98148 98198,1840018426
Pullman,Pullman,Washington,53075,Whitman,46.7336,-117.168,31972,1109.8,shape,false,true,America/Los_Angeles,3,99163 99164,1840019864
SeaTac,SeaTac,Washington,53033,King,47.4444,-122.2986,30927,1186.5,shape,false,true,America/Los_Angeles,3,98158 98148 98198 98168 98188 98131,1840021116
Orchards,Orchards,Washington,53011,Clark,45.689,-122.5306,29214,2107.2,shape,false,false,America/Los_Angeles,2,98682,1840018519
Maple Valley,Maple Valley,Washington,53033,King,47.3659,-122.0368,27889,1793.4,shape,false,true,America/Los_Angeles,3,98038,1840019828
Camas,Camas,Washington,53011,Clark,45.6005,-122.4304,26387,722.5,shape,false,true,America/Los_Angeles,3,98607,1840018524
Tumwater,Tumwater,Washington,53067,Thurston,46.9891,-122.9175,25617,565.2,shape,false,true,America/Los_Angeles,3,98501 98512 98511,1840021145
Mercer Island,Mercer Island,Washington,53033,King,47.5661,-122.232,25464,1540.4,shape,false,true,America/Los_Angeles,3,98040,1840019830
Mill Creek East,Mill Creek East,Washington,53061,Snohomish,47.8361,-122.1877,25302,2195.7,shape,false,true,America/Los_Angeles,2,98012,1840041996
Moses Lake,Moses Lake,Washington,53025,Grant,47.1279,-119.2759,25155,536.2,shape,false,true,America/Los_Angeles,3,98837,1840019817
Frederickson,Frederickson,Washington,53053,Pierce,47.0916,-122.3603,24741,844.5,shape,false,false,America/Los_Angeles,3,98387 98375 98446,1840037551
Bainbridge Island,Bainbridge Island,Washington,53035,Kitsap,47.6439,-122.5434,24681,345.1,shape,false,true,America/Los_Angeles,3,98110 98061,1840018409
Oak Harbor,Oak Harbor,Washington,53029,Island,48.2964,-122.6333,24458,978.4,shape,false,true,America/Los_Angeles,3,98277,1840019779
